"","defend","battle","adventure","destroy_devastate_wreck","kill","rescue","strategy_tactics","mission","shoot","attack","combat","survive","discover_reveal","fight","defeat","solve"
"644272",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672717",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"683187",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"722936",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"728005",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"739464",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"762884",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"763436",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"768265",0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"809372",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
"813891",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"826286",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
