"","challenge","defend","strategy_tactics","fight","mission","rescue","compete","move_special_move","magic","combat","battle","explore","race","attack","defeat","fast","shoot","collect_gather"
"944252",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944908",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"946181",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"946195",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949120",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949453",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"952624",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"952844",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"954120",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"954363",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954383",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"954506",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"954981",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"955439",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"956707",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"957942",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"957950",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"958083",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958254",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"958702",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"958882",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"958912",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"959013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"959291",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959424",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"959972",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"960344",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"960401",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"960558",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960591",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"960731",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"961213",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"961399",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"961698",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"972664",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"974354",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"975164",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"976277",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"991145",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
