"","mission","battle","collect_gather","fight","defeat","combat","shoot","strategy_tactics","explore","defend","rescue","move_special_move","discover_reveal","attack","adventure","solve","destroy_devastate_wreck","race","compete","fast"
"928149",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928301",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928518",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930159",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932615",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932860",1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"933004",0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"933024",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933029",0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"933095",0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"933103",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933155",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"935323",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"935837",0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"935846",0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"936559",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"936562",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"936566",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"937407",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938088",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938348",0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
"938534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"938583",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"938611",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"939067",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939069",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"939318",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"939319",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"939322",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"939448",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"939539",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939799",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"940048",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941631",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"941651",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"941825",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"941873",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"941981",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"942010",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"942088",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"942654",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"942898",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
