"","collect_gather","destroy_devastate_wreck","shoot","battle","defeat","rescue","fight","adventure","move_special_move","explode_blast","attack","fast","race","dangerous","challenge","compete"
"935579",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938056",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"939074",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"939134",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"939278",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"939528",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"939538",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"941861",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"941992",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"941998",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"943086",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"943280",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"943428",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"943856",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
