"","dangerous","story","team_group_crew_squad","death","action","enemy","tournament_competition","realistic_accurate","licensed_tournament","challenge"
"615810",1,1,1,1,0,0,0,0,0,0
"632147",0,0,0,0,1,0,0,0,0,0
"640098",0,0,0,0,0,1,0,0,0,0
"645152",0,0,0,0,0,0,1,1,1,0
"647145",0,0,1,0,0,1,1,0,1,0
"649290",0,0,0,0,0,0,1,1,0,0
"656451",0,0,1,0,0,0,1,0,0,1
"656452",0,0,0,0,0,0,0,1,1,0
"661935",0,0,0,0,0,0,0,1,1,0
"664912",0,0,0,0,0,0,0,1,0,0
"668444",0,0,1,0,0,0,1,1,1,0
"672341",0,1,0,0,0,0,0,0,0,0
"672372",0,0,1,0,0,0,0,0,1,0
