"","combat","battle","strategy_tactics","defend","fight","defeat","destroy_devastate_wreck","kill","compete","attack","collect_gather","survive","mission","solve","discover_reveal"
"945597",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"958985",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"959041",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"959288",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"959363",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"960103",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960638",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"961038",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"961100",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"971353",0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
"974789",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"985981",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"990637",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"995075",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"995531",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"997982",0,1,1,0,1,1,1,0,0,0,0,0,1,0,0
