"","combat","adventure","destroy_devastate_wreck","rescue","mission","fight","battle","discover_reveal","attack","collect_gather","compete","strategy_tactics","defend","explore","solve","shoot"
"605601",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632705",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632900",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"640643",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"649270",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"666508",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"667703",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"670379",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"672893",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"673455",0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
"680069",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"681534",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"683105",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
"684836",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"700994",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"703246",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"704458",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"705969",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"707754",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"710576",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"715207",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"717342",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"720002",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"721166",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"727962",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"950897",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"960699",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"999091",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
