"","tournament_competition","realistic_accurate","team_group_crew_squad","enemy","fast","weapon","licensed_content_video_games","story","compete","dangerous","shoot"
"928289",1,1,0,0,0,0,0,0,0,0,0
"928311",0,1,1,0,0,0,0,0,0,0,0
"929261",0,0,0,1,0,0,0,0,0,0,0
"930863",0,0,0,1,0,0,0,0,0,0,0
"930953",1,0,0,0,0,0,0,0,0,0,0
"932164",1,1,1,0,0,0,0,0,0,0,0
"932196",0,1,0,1,0,0,0,0,0,0,0
"932239",0,0,0,0,1,0,0,0,0,0,0
"932465",1,1,0,1,0,1,1,1,0,0,0
"932715",0,1,0,0,0,0,0,0,0,0,0
"932867",1,0,0,0,0,0,0,0,0,0,0
"932932",0,0,1,0,0,0,0,0,0,0,0
"932938",1,0,0,1,0,0,0,0,0,0,0
"932993",1,0,0,0,0,0,0,0,0,0,0
"933142",0,0,1,1,0,0,0,0,0,0,0
"933693",1,1,1,1,0,0,0,0,1,0,0
"933709",0,1,0,0,0,0,0,0,0,0,0
"933860",0,1,0,0,0,0,0,0,0,0,0
"933868",0,1,0,0,0,1,0,0,0,1,0
"935088",0,1,0,0,0,0,0,0,0,0,0
"935290",0,0,1,0,0,0,0,0,0,0,1
"936838",1,0,0,0,0,0,0,0,0,0,0
