"","collect_gather","explore","discover_reveal","battle","strategy_tactics","solve","survive","destroy_devastate_wreck","combat","attack","explode_blast","mission","fight","move_special_move","defeat","defend","adventure","rescue","compete"
"606544",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939336",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"939413",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"942006",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"943397",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"943500",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"943928",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"946345",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"950186",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"952493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"960403",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"960494",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"960554",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"961275",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"961285",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"961686",1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"975240",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"976418",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"976803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"980491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"981379",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"988809",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"989150",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"991065",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"995071",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"996092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"997056",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"997663",0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"997755",0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
