"","battle","collect_gather","fight","defeat","combat","explore","adventure","solve","strategy_tactics","attack","defend","destroy_devastate_wreck","rescue","shoot","mission"
"928301",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928518",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"932615",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"933024",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"935846",0,0,0,1,0,1,1,1,1,0,0,0,0,0,0
"937407",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"938583",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"938611",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"939067",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"940048",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941651",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"941981",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"943279",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"943282",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"943284",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"943339",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"943401",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"944073",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"944198",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"944401",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"944521",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"944602",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"944795",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"945010",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"945044",0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
"945399",1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
"950901",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"950903",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"950926",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"950927",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"951686",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
