"","army","enemy","team_group_crew_squad","fast","puzzle","story","war","dangerous","level_stage","attack","weapon","licensed_content_cultural_products","realistic_accurate","hero","mystery","adventure","licensed_content_video_games","horde_wave_mass","evil","city","destroy_devastate_wreck","shoot"
"606553",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945591",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960426",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"974106",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"974852",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"986214",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"988308",0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"989931",0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"995670",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"996046",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"996050",1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"996586",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"997573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"998058",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"998609",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"999548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
