"","defend","combat","mission","compete","collect_gather","strategy_tactics","discover_reveal","explore","solve","battle","rescue","defeat","adventure","fight","magic","move_special_move","friend"
"605452",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"606312",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"610924",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"615804",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"617221",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"618630",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"624508",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"629692",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"630113",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"631680",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"946568",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"950873",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"960829",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"976762",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"988967",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"991348",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"991492",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"991771",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"995177",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"997430",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
