"","war","enemy","army","action","weapon","story","horde_wave_mass","compete","realistic_accurate","team_group_crew_squad","mission","fast","level_stage","city","rescue","tournament_competition","battle","mystery","puzzle","human_race_mankind","licensed_content_video_games"
"928383",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932514",0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933033",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"934752",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"935985",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"936126",0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"936499",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"936696",1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"938702",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"939199",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939562",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"939632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"942889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
