"","fast","dangerous","story","licensed_content_video_games","team_group_crew_squad","action","combat","enemy","fight","battle","compete","move_special_move","tournament_competition","realistic_accurate","singleplayer","online","multiplayer","collect_gather","defend","strategy_tactics","attack","shoot"
"615810",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632147",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"640098",0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"645152",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"647145",0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0
"649290",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"656451",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"656452",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"661935",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"664912",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"668444",0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"672341",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"672372",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"676300",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
