"","level_stage","puzzle","enemy","solve","hero","evil","story","race","mystery","adventure","action","fast","destroy_devastate_wreck","licensed_content_cultural_products","the_earth","magic","tournament_competition","city"
"604138",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605497",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610762",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945656",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959349",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"959832",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"971669",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"971975",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"972801",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974804",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"977135",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"978284",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"978737",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"979375",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"980488",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"984907",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"986263",1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"987422",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"988754",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988778",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"989573",1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"990143",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"991432",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"991517",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"995602",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"997197",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"997544",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"997545",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"997634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"998531",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
