"","licensed_tournament","tournament_competition","realistic_accurate","enemy","music","weapon","licensed_content_video_games","story","team_group_crew_squad","just_name","challenge","shoot"
"927448",1,0,0,0,0,0,0,0,0,0,0,0
"928289",0,1,1,0,0,0,0,0,0,0,0,0
"930863",0,0,0,1,0,0,0,0,0,0,0,0
"930953",0,1,0,0,0,0,0,0,0,0,0,0
"932196",1,0,1,1,1,0,0,0,0,0,0,0
"932465",0,1,1,1,0,1,1,1,0,0,0,0
"932715",0,0,1,0,0,0,0,0,0,0,0,0
"932932",1,0,0,0,0,0,0,0,1,1,0,0
"932993",1,1,0,0,0,0,0,0,0,0,1,0
"933142",1,0,0,1,0,0,0,0,1,0,0,0
"933705",1,0,0,0,0,0,0,0,0,0,0,0
"935290",1,0,0,0,0,0,0,0,1,0,0,1
