"","battle","move_special_move","explore","fight","rescue","defeat","survive","shoot","defend","discover_reveal","adventure","compete","strategy_tactics","attack","combat","fast","destroy_devastate_wreck","explode_blast","kill","mission","music"
"915692",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926632",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927013",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928391",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928517",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"932369",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"932831",1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"933020",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"933063",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"933066",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"934459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"935058",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"937003",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937271",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"939205",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"939212",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"939277",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"939578",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939731",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"942051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
