"","story","realistic_accurate","mystery","kill","just_name","puzzle","adventure","attack","hero","army","enemy","death","licensed_content_cultural_products","challenge","level_stage","tournament_competition","friend","weapon"
"605047",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933123",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"940007",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"952385",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"954373",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"974820",0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"977601",0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
"980069",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"980070",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"980071",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"991337",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"991496",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"994624",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"997381",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"997603",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
