"","destroy_devastate_wreck","team_group_crew_squad","mystery","mission","race","rescue","city","realistic_accurate","fight","action","move_special_move","enemy","tournament_competition","battle","defeat","defend","compete"
"944908",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"946195",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"949120",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"949453",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"950923",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"954363",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"955340",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"958262",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"958432",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"958702",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"958704",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"959013",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"959291",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"959972",0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0
"960292",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"960358",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
