"","battle","adventure","fight","challenge","solve","explore","dangerous","compete","strategy_tactics","race","licensed_content_cultural_products","fast","defeat"
"933014",1,1,0,0,0,0,0,0,0,0,0,0,0
"938257",0,0,1,0,0,0,0,0,0,0,0,0,0
"944164",0,0,0,1,1,0,0,0,0,0,0,0,0
"944280",0,0,0,1,0,0,0,0,0,0,0,0,0
"944296",0,0,0,0,0,1,1,0,0,0,0,0,0
"945407",0,0,0,0,1,0,0,0,0,0,0,0,0
"945916",0,0,0,1,0,0,0,1,0,0,0,0,0
"946012",0,0,0,0,0,0,0,0,1,0,0,0,0
"946303",0,0,0,0,1,0,0,1,0,0,0,0,0
"946573",0,0,0,0,0,0,0,0,0,1,0,0,0
"950905",0,0,0,1,0,0,0,0,0,0,0,0,0
"950956",1,0,0,0,0,0,0,1,0,0,0,0,0
"951587",0,1,0,0,0,0,0,0,0,0,0,0,0
"952362",0,0,0,0,0,0,0,1,0,0,0,0,0
"953420",0,0,0,1,0,0,0,0,0,0,0,0,0
"953864",0,0,0,0,1,0,0,0,0,0,1,1,0
"954046",0,0,0,0,0,0,0,0,0,0,0,1,0
"954821",0,0,0,0,1,0,0,0,0,0,0,0,1
"954963",0,0,0,0,0,0,0,0,0,0,0,1,0
