"","adventure","discover_reveal","explore","rescue","collect_gather","solve","combat","battle","defeat","survive","mission"
"935585",1,0,0,0,0,0,0,0,0,0,0
"935591",0,1,1,0,0,0,0,0,0,0,0
"938684",0,1,0,1,0,0,0,0,0,0,0
"939565",0,0,0,0,1,1,0,0,0,0,0
"942122",0,0,1,0,0,1,1,0,0,0,0
"942723",1,0,0,0,0,0,0,0,0,0,0
"943006",0,0,0,0,0,1,0,0,0,0,0
"945611",0,0,0,0,0,0,0,1,0,0,0
"945612",0,1,1,0,0,0,0,0,0,0,0
"946376",0,0,1,0,0,0,0,0,0,0,0
"949115",1,0,0,1,0,0,0,0,1,0,0
"949618",0,1,0,0,0,1,0,0,0,0,0
"950966",0,0,0,0,0,0,0,1,0,1,0
"952841",0,0,1,0,0,1,0,0,0,0,0
"955027",1,1,1,0,0,0,0,0,0,0,1
