"","attack","fight","strategy_tactics","compete","defeat","tournament_competition","battle","move_special_move","destroy_devastate_wreck","collect_gather","fast","race","defend","shoot","explore","mission"
"927448",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928311",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928676",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"929261",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"930863",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932164",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"932196",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"932465",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"932715",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"932938",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
"932993",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"933142",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"933693",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"933860",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"933868",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"935088",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"936838",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
