"","compete","action","destroy_devastate_wreck","race","defeat","fast","enemy","realistic_accurate","epic","collect_gather","level_stage","battle","tournament_competition","team_group_crew_squad","fight","weapon","strategy_tactics","move_special_move","discover_reveal"
"620887",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"631651",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632913",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"639950",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"641560",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"651288",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"660637",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"662534",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"663509",0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"664236",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"664645",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"669064",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
"671114",1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"672726",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673024",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"676832",1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"997924",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
