"","realistic_accurate","move_special_move","fight","fast","dangerous","story","team_group_crew_squad","action","combat","race","compete","hero","tournament_competition","enemy","battle","collect_gather","level_stage","defend","strategy_tactics","attack","shoot"
"606290",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615810",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632147",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"632378",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"632865",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"632920",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"639691",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"640098",0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"645152",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"647145",0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"649290",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"650816",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"652995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"656451",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"656452",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"661935",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"663204",0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"664912",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"668444",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"672341",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"672739",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"672903",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"679855",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
