"","battle","fight","combat","mission","explode_blast","attack","collect_gather","explore","adventure","discover_reveal","kill","defend","solve","rescue"
"946219",1,1,1,1,1,1,0,0,0,0,0,0,0,0
"948789",0,0,0,0,0,0,1,1,1,1,0,0,0,0
"955093",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"959321",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"959421",0,0,0,0,0,0,0,0,1,0,0,1,1,0
"960342",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960924",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"961515",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"971670",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"973239",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"976357",0,0,0,0,0,0,1,0,0,0,0,0,1,1
