"","hero","battle","epic","city","rescue","enemy","horde_wave_mass","evil","weapon","war","army","human_race_mankind","magic","puzzle","story","mystery","level_stage","fast","the_earth","mission","dangerous"
"651582",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672891",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"681989",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"682468",1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"706032",0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"707565",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"709407",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"710243",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"714747",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"717507",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"730866",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"732890",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
"760435",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"763235",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"778830",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"784751",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
