"","realistic_accurate","tournament_competition","destroy_devastate_wreck","city","level_stage","enemy","action","team_group_crew_squad","fast","story","the_earth","epic","singleplayer","race","defend"
"660141",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"679614",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"702725",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"704471",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"706231",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"710073",0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
"716478",0,0,0,0,0,1,0,1,0,0,0,1,1,1,0
"720633",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"722791",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"982128",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
