"","race","realistic_accurate","compete","licensed_content_video_games","battle","mystery","fast","multiplayer","defeat","enemy","tournament_competition","evil","dangerous","online","destroy_devastate_wreck","team_group_crew_squad","action","story","city","singleplayer","explore"
"604155",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604291",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604347",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605586",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"605593",1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"605961",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609593",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611852",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"614995",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"620598",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"621031",1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"625403",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"628146",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"628160",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"630985",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"638789",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"646484",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"971360",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"990993",1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"997559",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"997653",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998009",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
