"","explode_blast","action","licensed_content_video_games","puzzle","death","horde_wave_mass","level_stage","enemy","challenge","just_name","magic","mystery","city","evil","team_group_crew_squad"
"930069",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"944469",0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"954814",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"957669",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"957674",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"958943",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"959413",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"959661",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"960170",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"960593",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"971686",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"974793",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
"979877",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
