"","city","just_name","story","attack","weapon","arcade","soldier","army","realistic_accurate","friend","fast","destroy_devastate_wreck","war","shoot","enemy","level_stage","team_group_crew_squad","challenge"
"933195",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942050",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"943658",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944262",0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"944542",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"944916",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"944977",0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
"946126",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952621",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
"954040",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
