"","strategy_tactics","adventure","destroy_devastate_wreck","rescue","battle","move_special_move","defend","fight","solve","mission","defeat","combat","attack","race","fast","discover_reveal","shoot","explore"
"605506",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605724",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610876",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"619503",0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"620509",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"621185",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"625894",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"626633",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"627224",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"627553",0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"628015",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"630107",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"631928",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"632801",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"632923",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"634344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"637240",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"640857",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"642666",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"935607",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942657",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"952598",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"954843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"960491",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"975303",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"991468",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"995375",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"995751",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"996823",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"996959",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"997372",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997471",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"997619",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"998016",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"998090",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998304",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
