"","licensed_content_video_games","epic","story","mystery","weapon","action","attack","army","hero","horde_wave_mass","enemy","the_earth","war","evil","team_group_crew_squad","magic","city","human_race_mankind","battle","destroy_devastate_wreck","puzzle","adventure"
"927246",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928334",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932035",0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"932979",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"935661",0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"938642",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939162",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939442",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"939444",0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0
"939932",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"942210",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
"943325",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"944700",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945075",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
