"","battle","mission","fast","combat","attack","strategy_tactics","fight","compete","adventure","shoot","move_special_move","defend","destroy_devastate_wreck"
"666759",1,0,0,0,0,0,0,0,0,0,0,0,0
"681609",1,1,0,0,0,0,0,0,0,0,0,0,0
"718285",1,0,1,1,0,0,0,0,0,0,0,0,0
"718642",0,0,0,1,1,1,1,0,0,0,0,0,0
"722789",0,0,0,0,0,0,0,1,0,0,0,0,0
"730869",0,0,0,0,0,0,0,0,1,0,0,0,0
"739683",1,0,0,0,0,0,1,0,0,0,0,0,0
"766676",0,0,0,0,0,0,1,0,0,1,0,0,0
"783734",0,0,0,0,0,0,1,0,1,1,1,1,0
"809364",0,0,0,0,0,0,0,0,0,0,0,0,1
