"","mystery","fast","magic","enemy","city","shoot","licensed_content_video_games","the_earth","action","story","human_race_mankind","puzzle","team_group_crew_squad","realistic_accurate","tournament_competition","move_special_move"
"932946",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"935186",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"935589",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"936561",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"936563",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"937821",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"939473",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"942967",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"943298",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"944564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
