"","licensed_tournament","tournament_competition","realistic_accurate","enemy","move_special_move","challenge","just_name","friend","team_group_crew_squad","action","strategy_tactics","fast"
"605819",1,0,0,0,0,0,0,0,0,0,0,0
"960521",0,1,1,1,0,0,0,0,0,0,0,0
"960629",0,0,1,0,0,0,0,0,0,0,0,0
"971262",0,1,0,0,1,0,0,0,0,0,0,0
"973379",0,0,1,1,0,1,1,1,1,0,0,0
"981301",0,1,1,0,0,0,0,0,0,1,0,0
"985985",1,1,1,1,0,0,0,0,1,0,0,0
"986258",1,1,0,0,0,0,0,0,1,0,0,0
"987827",1,0,0,0,0,0,0,0,0,0,0,0
"988954",1,0,1,0,0,0,0,0,0,0,1,0
"988956",1,0,1,0,0,0,0,0,0,0,0,0
"991333",0,0,0,1,0,0,0,0,0,0,0,1
"991753",1,1,0,1,0,0,0,0,1,1,0,0
"995950",0,0,1,0,0,0,0,0,0,0,0,0
"997304",1,0,0,0,0,0,0,0,0,0,0,0
