"","enemy","challenge","army","weapon","horde_wave_mass","human_race_mankind","team_group_crew_squad","war","evil","just_name","shoot","soldier","death","survive","puzzle","battle","defend","dangerous"
"617322",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622895",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"623309",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"623998",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"624321",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"629723",0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
"633392",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"641863",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"978357",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"995078",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"997722",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
