"","race","drive","compete","battle","crash","fast","hunt","chase_pursue","defeat","jump","destroy_devastate_wreck","avoid","navigate","kill","capture","stunt","create_design","cooperate","explore","confront"
"604155",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604291",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604347",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605586",1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"605593",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"605961",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614995",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"620598",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621031",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"625403",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"628146",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"628160",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"630985",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"638789",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971360",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"990993",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"997559",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"998009",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
