"","rescue","explore","discover_reveal","fight","defend","mission","battle","solve","adventure","combat","attack","strategy_tactics","shoot","destroy_devastate_wreck"
"604158",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"609388",1,1,1,1,0,0,0,0,0,0,0,0,0,0
"622500",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"626515",0,0,0,1,1,0,0,0,0,0,0,0,0,0
"628661",0,0,0,1,0,1,1,0,0,0,0,0,0,0
"632872",0,0,0,0,1,0,0,1,1,1,0,0,0,0
"960564",0,1,1,0,1,0,1,0,0,0,1,1,0,0
"988055",0,0,0,0,0,0,1,0,0,1,0,1,1,1
"991144",0,1,0,0,0,0,0,0,0,1,0,0,0,1
"995452",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"997903",0,0,0,0,0,0,0,0,0,1,0,1,0,0
