"","fast","collect_gather","tournament_competition","online","race","mission","challenge","licensed_content_video_games","realistic_accurate","destroy_devastate_wreck","licensed_content_cultural_products","battle","team_group_crew_squad","city","enemy","dangerous","friend","licensed_tournament","multiplayer","singleplayer","compete","defeat"
"928101",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928379",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928661",0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"930270",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932650",1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932906",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"933000",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933691",0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"933864",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"934753",1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0
"935893",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"935894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
